word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,tense,plural,detail,audio,audio_uk,audio_us
declarator,di'klærәtә,,[计] 说明符,,,,,,,,,,,,
declarator name,,,[计] 说明符名,,,,,,,,,,,,
declaratory,di'klærәtәri,,adj. 宣言的；公布的,,,,,44761,28014,,,,,,
declare,di'klєә,v. state emphatically and authoritatively\nv. state firmly\nv. declare to be\nv. authorize payments of,"vt. 宣布, 声明, 申报, 断言\nvi. 宣布, 声明, 申报, 断言",,4,1,gk cet4 cet6 ky toefl ielts,1533,1564,,,,,,
declare off,,,"宣布取消\n[法] 宣告作罢, 取消",,,,,,,,,,,,
declare oneself,,,"发表意见, 显露身分",,,,,,,,,,,,
declare statement,,,[计] 说明语句,,,,,,,,,,,,
declare war on,,,"宣战, 发动进攻",,,,,,,,,,,,
declare war upon,,,"向...宣战, 向...发动进攻, 表示反对...",,,,,,,,,,,,
declared,di'klєәd,a. made known or openly avowed\ns. declared as fact; explicitly stated,"a. 公告的, 公然的",,,,,14234,15895,,,,,,
declared attribute,,,[计] 说明属性,,,,,,,,,,,,
declared bit,,,[计] 说明位,,,,,,,,,,,,
declared range,,,[计] 说明范围,,,,,,,,,,,,
declared scalar type,,,[计] 说明标量类型,,,,,,,,,,,,
declared value,,,"申报价格\n[经] 设定价值, 申报价值",,,,,,,,,,,,
declaredly,di'klєәridli,,ad. 公然地,,,,,,,,,,,,
declarer,di'klєәrә,,"n. 宣言者, 申报者",,,,,,,,,,,,
declaring,,,n. 宣告行为，说明,,,,,,,,,,,,
declass,.di:'klɑ:s,,vt. 使丧失原有社会地位,,,,,,,,,,,,
declassification,,n. reduction or removal by the government of restrictions on a classified document or weapon,"n. (文件)解密, 从机密表删除",,,,,,31250,,,,,,
declassified,di:ˈklæsəˌfaɪd,s. having had security classification removed,adj. 解密的\nv. 对（机密文件等）销密( declassify的过去式和过去分词 ),,,,,,24148,,,,,,
declassify,di:'klæsifai,v. lift the restriction on and make available again,"vt. (文件)解密, 从机密表删除",,,,,,18891,,,,,,
declension,di'klenʃәn,n. the inflection of nouns and pronouns and adjectives in Indo-European languages\nn. a class of nouns or pronouns or adjectives in Indo-European languages having the same (or very similar) inflectional forms,"n. 词形变化, 变格, 倾斜, 衰退",,,,,,32850,,,,,,
declinable,di'klainәbl,,a. 可变格的,,,,,,,,,,,,
declination,.dekli'neiʃәn,n. (astronomy) the angular distance of a celestial body north or to the south of the celestial equator; expressed in degrees; used with right ascension to specify positions on the celestial sphere\nn. a polite refusal of an invitation,"n. 下倾, 倾斜, 衰微\n[医] 偏角, 偏差, 偏转(眼球)",,,,,,19133,,,,,,
decline,di'klain,n. change toward something smaller or lower\nn. a condition inferior to an earlier condition; a gradual falling off from a better state\nv. grow smaller\nv. go down,"n. 衰退, 跌落, 下降\nvt. 使降低, 婉谢\nvi. 下降, 衰落, 偏斜",,4,1,gk cet4 cet6 ky toefl ielts,2189,1787,,,,,,
declining,di'klainiŋ,,"a. 倾斜的, 衰退中的",,,,,7101,6086,,,,,,
declinometer,.dekli'nɒmitә,n. an instrument for measuring magnetic declination,"n. 方位计, 磁针偏差计\n[电] 磁偏计",,,,,,,,,,,,
declivity,di'kliviti,,"n. 倾斜, 下坡",,,,toefl,,36743,,,,,,
declivous,di'klaivәs,,"a. 下斜的, 倾斜的",,,,,,,,,,,,
declutch,.di:'klʌtʃ,v. disengage the clutch of a car,vi. 分开离合器\nvt. 使停转,,,,,,,,,,,,
DECNET,,,[计] 数字设备公司网络,,,,,,,,,,,,
deco,'dekәu,n. a style of design that was popular in the 1920s and 1930s; marked by stylized forms and geometric designs adapted to mass production,abbr. 直接能量转换操作（Direct Energy Conversion Operation）；降低氧消耗（decreasing consumption of oxygen）,,,,,48608,,,,,,,
decoct,di'kɒkt,v. extract the essence of something by boiling it\nv. steep in hot water,"vt. 熬, 煎\n[医] 煎",,,,,,,,,,,,
decoction,di'kɒkʃәn,n. (pharmacology) the extraction of water-soluble drug substances by boiling,"n. 煎煮, 煮出的汁, 煎熬的药\n[医] 煎[剂], 煎法",,,,,,35251,,,,,,
decodability,,,[计] 可译码性,,,,,,,,,,,,
decodable,,,[计] 可译码的,,,,,,,,,,,,
decodable code,,,[计] 可译代码,,,,,,,,,,,,
decode,di:'kәud,v. convert code into ordinary language,"vt. 解码, 译解\n[计] 译码",,,,,15366,12102,,,,,,
decode and encode statement,,,[计] 译码和编码语句,,,,,,,,,,,,
decode machine,,,[计] 译码计算机,,,,,,,,,,,,
decode operation,,,[计] 译码操作,,,,,,,,,,,,
decode statement,,,[计] 译码语句,,,,,,,,,,,,
decoded,di:ˈkəudid,,v. 译（码），解（码）( decode的过去式和过去分词 ); 分析及译解电子信号,,,,,,36150,,,,,,
decoded operation,,,[计] 译码操作,,,,,,,,,,,,
decoder,di:'kәudә,n. the kind of intellectual who converts messages from a code to plain text\nn. a machine that converts a coded text into ordinary language,"n. 译电员, 译码器\n[计] 译码器",,,,,28694,18764,,,,,,
decoder card,,,[计] 译码卡,,,,,,,,,,,,
decoder circuit,,,[电] 解码器电路,,,,,,,,,,,,
decoder matrix,,,[计] 译码矩阵,,,,,,,,,,,,
decoding,di'kәudiŋ,n. the activity of making clear or converting from code into plain text,[计] 译码的\n[化] 解码,,,,,27170,21865,,,,,,
decoding algorithm,,,[计] 译码算法,,,,,,,,,,,,
decoding gate,,,[计] 译码门,,,,,,,,,,,,
decoding information,,,[计] 译码信息,,,,,,,,,,,,
decoding logic,,,[计] 译码逻辑,,,,,,,,,,,,
decoding matrix,,,[计] 译码矩阵,,,,,,,,,,,,
decoding network,,,[计] 译码网络,,,,,,,,,,,,
decoding switch,,,[计] 译码开关,,,,,,,,,,,,
decoding time,,,[计] 译码时间,,,,,,,,,,,,
decoding tree,,,[计] 译码树,,,,,,,,,,,,
decohere,.di:kәu'hiә,,vt. (使)散屑\nvi. (使)散屑,,,,,,,,,,,,
decoherer,,,[电] 散屑器,,,,,,,,,,,,
decollate,di'kɒleit,,"vt. 斩首, 杀头\n[计] 拆散",,,,,,,,,,,,
decollation,.di:kә'leiʃәn,,"n. 杀头, 断头\n[医] 断头术",,,,,,,,,,,,
decollator,",di'kɔleitә",,[计] 分割器\n[医] 断头器,,,,,,,,,,,,
decolletage,deikɔl'tɑ:ʒ,n. a low-cut neckline on a woman's dress,"n.<法>低领,袒胸露背的衣服",,,,,,34099,,,,,,
decollete,di'kɔltei; (?@) dikɔl'tei,s. (of a garment) having a low-cut neckline,"a. (女装)低颈或露肩的, 袒胸露背的",,,,,,,,,,,,
decolonization,"di:,kɔlәnai'zeiʃən; -ni'z-",n. the action of changing from colonial to independent status,n.非殖民(地)化,,,,,38975,19219,,,,,,
decolonize,di:'kɒlәnaiz,v. grant independence to (a former colony),vt. 使非殖民化,,,,,,28439,,,,,,
decolonized,diː'kɒlənaɪz,,vt. 使非殖民化,,,,,,39511,,,,,,
decolonizing,diː'kɒlənaɪz,,vt. 使非殖民化,,,,,,38853,,,,,,
decolorise,,,"vt. 使...脱色, 将...漂白",,,,,,,,,,,,
decolorize,di:'kʌlәraiz,,"vt. 使脱色\n[医] 脱色, 失色",,,,,,,,,,,,
decolorizing carbon,,,[机] 脱色碳,,,,,,,,,,,,
decolour,di:'kʌlә,,vt. 使脱色\n[化] 脱色,,,,,,,,,,,,
decolourise,,,"vt. 使...脱色, 将...漂白",,,,,,,,,,,,
decolourize,di:'kʌlәraiz,,"vt. 使...脱色, 将...漂白",,,,,,,,,,,,
decom,,,abbr. 贸易保护局,,,,,,,,,,,,
decometer,'di'kɔmitә,,[电] 地卡计,,,,,,,,,,,,
decommission,.di:kә'miʃәn,v. withdraw from active service,vt. 使退役,,,,,38003,26615,,,,,,
decommissioned,ˌdi:kəˈmiʃənd,,v. 使退役( decommission的过去式和过去分词 ),,,,,,32657,,,,,,
decommissioning,,,[化] 退役; 设施退役; 停运,,,,,28324,25295,,,,,,
decommuntation,,,[电] 反换向,,,,,,,,,,,,
decommutation,"di:,kɔmju'teiʃәn",,[计] 反互换,,,,,,,,,,,,
decommutator,di:'kɔmjuteitә,,"[计] 反转换器, 反互换器",,,,,,,,,,,,
decompaction,",di:kәm'pækʃәn",,"[计] 脱压缩, 解除压缩",,,,,,,,,,,,
decompensate,di:'kɒmpenseit,,vi. 代谢失调,,,,,,,,,,,,
decompensation,di:.kɒmpen'seiʃәn,,"n. 补偿不全, 呼吸困难, 代谢失调\n[医] 代偿失调, 代偿机能障碍",,,,,,,,,,,,
decompilation,,,"[计] 反编译, 解码",,,,,,,,,,,,
decompile,,,"[计] 反编译, 解码",,,,,,,,,,,,
decompiler,,,"[计] 反编译器, 解码器",,,,,,,,,,,,
decompoiling,,,"[计] 反编译, 解码",,,,,,,,,,,,
decomposability,",di:kәmpәusә'biliti",,n. 分解性,,,,,,,,,,,,
decomposable,",di:kәm'pәjzәbl",,a. 可分解的\n[计] 可分解的,,,,,,,,,,,,
decomposable code,,,[计] 可分解码,,,,,,,,,,,,
decomposable model,,,[计] 可分解模型,,,,,,,,,,,,
decomposable operator,,,[计] 可分解算子,,,,,,,,,,,,
decomposable production system,,,[计] 可分解产生式系统,,,,,,,,,,,,
decomposable searching problem,,,[计] 可分解搜索问题,,,,,,,,,,,,
decomposable system,,,[计] 可分解系统,,,,,,,,,,,,
decompose,.di:kәm'pәuz,v. separate (substances) into constituent elements or parts\nv. break down,"vt. 分解, (使)腐烂\nvi. 分解, (使)腐烂",,1,,cet6 ky toefl ielts,19253,13848,,,,,,
decomposed,.di:kәm'pәuzd,,adj. 已腐烂的，已分解的,,,,,35453,25183,,,,,,
decomposer,.di:kәm'pәuzә,,n. 分解体（分解已败死的原生质之有机体）；分解器,,,,,,,,,,,,
decomposing,ˌdi:kəmˈpəʊzɪŋ,,v. 腐烂( decompose的现在分词 ); （使）分解; <化>分解（某物质、光线等）,,,,,32708,23376,,,,,,
decomposite,di:'kɒmpәzit,,"a. 与混合物混合的\nn. 再混合物, 复合派生词",,,,,,,,,,,,
decomposition,.di:kɒmpә'ziʃәn,n. the analysis of a vector field\nn. in a decomposed state\nn. (chemistry) separation of a substance into two or more substances that may differ from each other and from the original substance,"n. 分解, 腐败, 变质\n[化] 分解; 裂解",,,,toefl,16206,13603,,,,,,
decomposition method,,,[计] 分解方法,,,,,,,,,,,,
decomposition of automaton,,,[计] 自动机分解,,,,,,,,,,,,
decomposition of force,,,[机] 力的分解,,,,,,,,,,,,
decomposition of relation schema,,,[计] 关系模式分解,,,,,,,,,,,,
decomposition process,,,[计] 分解过程,,,,,,,,,,,,
decomposition query,,,[计] 分解查询,,,,,,,,,,,,
decomposition query algorithm,,,[计] 分解查询算法,,,,,,,,,,,,
decomposition technique,,,[计] 分解技术,,,,,,,,,,,,
decompound,.di:kәm'paund,s. of a compound leaf; consisting of divisions that are themselves compound,"vt. 分解, 再混合\nn. 再混合物\na. 再混合的",,,,,,,,,,,,
decompress,.di:kәm'pres,v. restore to its uncompressed form,vt. (使)减压\nvi. (使)减压,,,,,,23134,,,,,,
decompression,",di:kәm'preʃәn",n. restoring compressed information to its normal form for use or display\nn. relieving pressure (especially bringing a compressed person gradually back to atmospheric pressure),"[计] 降压, 解除压缩, 脱压缩\n[化] 减压",,,,,28747,19279,,,,,,
decompressor,",di:kәm'presә(r)",,n. 减压器,,,,,,,,,,,,
deconcatenation,,,[计] 分离,,,,,,,,,,,,
deconcatenation of string,,,[计] 字符串分离,,,,,,,,,,,,
deconcentrate,di:'kɒnsәntreit,,vt. 使分散,,,,,,,,,,,,
deconcentration,"di:,kɔnsәn'treiʃən",,"n. 分散, 排除集中\n[法] 分治制, 分散权力",,,,,,,,,,,,
deconcentrator,,,[计] 分线器,,,,,,,,,,,,
decongestant,",di:kәn'dʒestәnt",n. a drug that decreases pulmonary congestion,"[医] 减轻充血的, 减充血剂",,,,,,25066,,,,,,
deconstruct,ˌdi:kənˈstrʌkt,v. interpret (a text or an artwork) by the method of deconstructing,vt. 解构（文学作品等）; 拆析,,1,,,26838,13948,,,,,,
deconstructed,ˌdi:kənˈstrʌktid,,v. 解构（文学作品等）( deconstruct的过去式和过去分词 ),,,,,,33276,,,,,,
deconstruction,",di:kәn'strʌkʃən",n. a philosophical theory of criticism (usually of literature or film) that seeks to expose deep-seated contradictions in a work by delving below its surface meaning,"n.解构,拆析(文学评论用语, 指找出文本中自身逻辑矛盾或自我拆解因素, 从而摧毁文本在人们心目中的传统建构)",,,,,24835,14328,,,,,,
deconstructionism,dikən'strʌkʃənizm,,n. 解构主义,,,,,,33688,,,,,,
deconstructionist,",di:kən'strʌkʃənist",a. of or concerned with the philosophical theory of literature known as deconstructionism,n. 解构者\nadj. 解构主义的,,,,,47665,,,,,,,
deconstructive,,,解构主义,,,,,42575,24290,,,,,,
decontaminate,.di:kәn'tæmineit,v. rid of contamination,"vt. 净化, 排除污染",,,,,49816,26625,,,,,,
decontamination,,n. the removal of contaminants,"n. 净化, 排除污染\n[化] 净化; 纯化; 清除放射性污染",,,,,40107,21607,,,,,,
decontextualized,,,脱离语境的,,,,,,36605,,,,,,
decontramination,,,"[计] 去污, 清除",,,,,,,,,,,,
decontrol,.di:kәn'trәul,v. relax or remove controls of,"vt. 解除管理, 解除管制\nn. 解除管理, 废除管制",,,,,43783,31855,,,,,,
deconvolution,",di:kɔnvә'lu:ʃәn",,"[计] 去卷积, 反褶积",,,,,,,,,,,,
decor,'deikɔ:(r); (?@) dei'kɔ:r,,"n. 装饰, 布置",,1,,,10217,8676,,,,,,
decora,'dekәrә,,n. 德可拉铬锰钼钒钢,,,,,,,,,,,,
decorate,'dekәreit,"v. make more attractive by adding ornament, colour, etc.\nv. award a mark of honor, such as a medal, to",vt. 装饰\nvi. 装饰,,3,1,gk cet4 cet6 ky toefl ielts,3956,3799,,,,,,
decorated,'dekәreitid,,adj. 装饰的，修饰的,,,,,11693,9754,,,,,,
decorating,,,n. 装饰；美化,,,,,15155,12373,,,,,,
decoration,.dekә'reiʃәn,n. something used to beautify\nn. an award for winning a championship or commemorating some other event\nn. the act of decorating something (in the hope of making it more attractive),"n. 装饰, 装饰品",,2,1,gk toefl ielts,4553,5365,,,,,,
decorations,,,n. 装修；装饰品（decoration的复数）,,,,ielts,,,,,,,,
decorative,'dekәreitiv,,a. 装饰性的,,2,1,cet6 toefl,6116,5819,,,,,,
decoratively,,r. in a decorative manner,adv. 装饰地,,,,,38002,32660,,,,,,
decorator,'dekәreitә,n. someone who decorates,"n. 装饰家, 裱糊工, 室内外墙壁油漆工, 制景人员",,,,,14595,11956,,,,,,
decoring,,,[机] 砂心清砂,,,,,,,,,,,,
decorous,'dekәrәs,a. characterized by propriety and dignity and good taste in manners and conduct,"a. 有礼貌的, 高雅的, 端正的",,,,,33101,25051,,,,,,
decorously,'dekərəslɪ,r. in a proper and decorous manner,adv. 有礼貌地，高雅地,,,,,33965,33410,,,,,,
decorrelation,"di:,kɔri'leiʃәn",,"[计] 解相关, 去相关",,,,,,,,,,,,
decorticate,di:'kɒ:tikeit,v. remove the outer layer of\nv. remove the cortex of (an organ),"vt. 剥皮\n[医] 剥除皮质, 去皮质, 剥外皮, 去皮",,,,,,,,,,,,
decorticator,di'kɔ:tikeitә,,n. 剥皮器\n[化] 去皮机,,,,,,,,,,,,
decorum,di'kɒ:rәm,n. propriety in manners and conduct,"n. 端正, 礼貌, 合宜, 礼仪",,,,toefl,20382,15059,,,,,,
decoupage,.deiku:'pɑ:ʒ,n. art produced by decorating a surface with cutouts and then coating it with several layers of varnish or lacquer\nn. the art of decorating a surface with shapes or pictures and then coating it with vanish or lacquer,n. 剪纸装饰,,,,,,39962,,,,,,
decouple,di'kʌpl,v. regard as unconnected\nv. eliminate airborne shock waves from (an explosive)\nv. reduce or eliminate the coupling of (one circuit or part to another),"[计] 去耦, 退耦, 分离",,,,,48841,28932,,,,,,
decoupling,di'kʌpliŋ,,"[计] 去耦, 退耦\n[化] 解耦; 去偶; 去偶合",,,,,,33807,,,,,,
decoupling circuit,,,[电] 去耦电路,,,,,,,,,,,,
decoupling filter,,,[电] 去耦滤波器,,,,,,,,,,,,
decoupling network,,,[电] 去耦网络,,,,,,,,,,,,
decoupling resistor,,,[电] 退耦电阻器,,,,,,,,,,,,
decoy,di'kɒi,n. a beguiler who leads someone into danger (usually as part of a plot)\nv. lure or entrap with or as if with a decoy,"n. 圈套, 诱骗\nvt. 诱骗",,1,,,21720,9506,,,,,,
decoy transponder,,,[电] 假询答机,,,,,,,,,,,,
decrease,'di:kri:s,n. a change downward\nn. a process of becoming smaller or shorter\nn. the amount by which something decreases\nn. the act of decreasing or reducing something,"n. 减少, 减少量\nvt. 减少\nvi. 减少",,2,1,gk cet4 cet6 ky toefl ielts,4236,2984,,,,,,
decrease decimal,,,[计] 小数位数递减,,,,,,,,,,,,
decrease font size,,,缩小字体\n[计] 缩小字体,,,,,,,,,,,,
decrease speed,,,减速\n[计] 减速,,,,,,,,,,,,
decrease the number to...,,,把数目减少到...,,,,,,,,,,,,
decrease to...,,,减少到...,,,,,,,,,,,,
decrease volume,,,减小音量\n[计] 减小音量,,,,,,,,,,,,
decreased,di:ˈkri:st,a. made less in size or amount or degree,v. （使）缩短，减小，减少( decrease的过去式和过去分词 ),,,,,16624,10743,,,,,,
decreasing,di'kri:siŋ,a. becoming less or smaller\na. music,[计] 下降的,,,,,14945,10966,,,,,,
decreasing order,,,[计] 降序,,,,,,,,,,,,
decreasingly,di:'kri:siŋli,,"ad. 渐渐减少地, 渐减地",,,,,,,,,,,,
decree,di'kri:,n. a legally binding command or decision entered on the court record (as if issued by a court or judge)\nv. issue a decree,"n. 法令, 判决, 天意\nvt. 颁布, 判决\nvi. 发布命令",,2,,cet6 toefl ielts,5484,7364,,,,,,
decrement,'dekrimәnt,,"n. 渐减, 减少, 减少量\n[计] 减量; 减",,,,,29437,25086,,,,,,
decrement address,,,[计] 减量地址,,,,,,,,,,,,
decrement decrement field,,,[计] 减量字段,,,,,,,,,,,,
decrement field,,,[计] 减量字段,,,,,,,,,,,,
decrement instruction,,,[计] 减量指令,,,,,,,,,,,,
decrement list,,,[计] 减量表,,,,,,,,,,,,
decrement load,,,[计] 减量装入,,,,,,,,,,,,
decrement operator,,,[计] 减量操作符,,,,,,,,,,,,
decrement register,,,[计] 减量寄存器,,,,,,,,,,,,
decrement type quadruplex teleg-raph,,,[电] 减流式四工电报,,,,,,,,,,,,
decrement working,,,[电] 减流运用,,,,,,,,,,,,
decremeter,di'kremitә,,[电] 减流计,,,,,,,,,,,,
decrepit,di'krepit,s. lacking bodily or muscular strength or vitality,a. 衰老的,,,,toefl ielts,19106,14569,,,,,,
decrepitate,di'krepiteit,v. undergo decrepitation and crackle\nv. to roast or calcine so as to cause to crackle or until crackling stops,vt. 烧得毕剥作响\nvi. 烧得毕剥作响,,,,,,,,,,,,
decrepitude,di'krepitju:d,n. a state of deterioration due to old age or long use,"n. 衰老, 老朽",,,,,38064,29739,,,,,,
decrescendo,'di:kri'ʃendәu,n. (music) a gradual decrease in loudness\nv. grow quieter\ns. gradually decreasing in volume,"n.渐弱, 乐节\nadj.渐弱(声音)的",,,,,,42533,,,,,,
decrescent,di'kresnt,,"a. 渐减的, 变小的",,,,,,,,,,,,
decretal,di'kri:tәl,,"n. 教皇的教令, 教令集\na. 法令的",,,,,,,,,,,,
decretive,di'kri:tiv,,"a. 法令的, 法令性的\n[法] 法令的, 命令的, 有法令效力的",,,,,,,,,,,,
decrial,di'kraiәl,,"n. 反对, 责难, 诽谤",,,,,,,,,,,,
decrier,di'kraiә,,n. 责难的人,,,,,,,,,,,,
decriminalization,"di:,kriminәlai'zeiʃən; -li'z-",n. legislation that makes something legal that was formerly illegal,"[法] 非刑事化, 非罪刑化, 合法化",,,,,,30607,,,,,,
decriminalize,di:ˈkrɪmɪnəlaɪz,,vt. 非刑事化,,,,,,27986,,,,,,
decrustation,",di:krʌs'teiʃәn",,"n. 脱皮\n[医] 痂皮脱落, 脱痂",,,,,,,,,,,,
decry,di'krai,,"vt. 反对, 责难, 诽谤, 诋毁",,,,toefl,19795,10201,,,,,,
decrypt,di:'kript,,"vt. 解...的密码\n[计] 解密, 译码",,,,,,31585,,,,,,
decryption,di:'kripʃәn,,[计] 解密,,,,,,33187,,,,,,
dector,,,"[计] 提取电路, 信号提取器",,,,,,,,,,,,
decubitus,di'kju:bitәs,n. a reclining position (as in a bed),"n. 褥疮, 卧位\n[医] 卧位, 卧, 褥疮",,,,,,,,,,,,
decumbence,di'kʌmbәns,,"n. 俯伏, 匍匐",,,,,,,,,,,,
decumbent,di'kʌmbәnt,,"a. 匍生的, 爬在地上的, 匍匐的",,,,,,,,,,,,
decuple,'dekjupl,,n. 十倍\na. 十倍的\nvt. 十倍于,,,,,,,,,,,,
decurl,,,[计] 去卷曲,,,,,,,,,,,,
decurrent,di'kʌrәnt,,a. 向下生长的\n[医] 向下的,,,,,,,,,,,,
decurved,di'kә:vd,s. bent down or curved downward,a. 向下弯的,,,,,,,,,,,,
decussate,di'kʌseit,v. cross or intersect so as to form a cross\ns. crossed or intersected in the form of an X,"vt. (使)交叉成X形, (使)交叉\nvi. (使)交叉成X形, (使)交叉\na. 交叉的, 交叉成X形的",,,,,,,,,,,,
decyl,,,[机] 癸基,,,,,,,,,,,,
decyl acetate,,,[机] 乙酸癸酯,,,,,,,,,,,,
decylene,'di:sailnә,,[机] 癸烯,,,,,,,,,,,,
decyltrichlorosilane,,,[建] 癸基三氯矽烷,,,,,,,,,,,,
decyphering,,,[计] 译码,,,,,,,,,,,,
DED,,,[计] 双错检测,,,,,,,,,,,,
deddendum,,,[机] 齿根,,,,,,,,,,,,
deddendum circle,,,[机] 齿根圆,,,,,,,,,,,,
dede,,,n. (Dede)人名；(法、印尼、德、塞、土、匈)德德,,,,,,,,,,,,
Dedekind cut,,,[计] 戴德金割,,,,,,,,,,,,
Dedekind lattice,,,[计] 戴德金格,,,,,,,,,,,,
dedendum angle,,,[机] 齿根角,,,,,,,,,,,,
Dedham,,,n. 戴德姆 (马萨诸塞州),,,,,47479,,,,,,,
dedicate,'dedikeit,"v. open to public use, as of a highway, park, or building\nv. inscribe or address by way of compliment\nv. set apart to sacred uses with solemn rites, of a church","vt. 献出, 贡献",,2,,cet6 ky toefl ielts,4670,3347,,,,,,
dedicate one's life to...,,,献身于...,,,,,,,,,,,,
dedicate to,,,献身,,,,,,,,,,,,
dedicated,'dedikeitid,a. devoted to a cause or ideal or purpose,"a. 专注的, 献身的",,2,,ielts,6410,5828,,,,,,
dedicated access,,,[计] 专用访问,,,,,,,,,,,,
dedicated application computer,,,[计] 专用计算机,,,,,,,,,,,,
dedicated buffering,,,[计] 专用缓冲,,,,,,,,,,,,
dedicated channel,,,[计] 专用信道,,,,,,,,,,,,
dedicated circuit,,,[计] 专用线路,,,,,,,,,,,,
dedicated computer,,,[计] 专用计算机\n[化] 专用计算机,,,,,,,,,,,,
dedicated computing,,,[计] 专用计算,,,,,,,,,,,,
dedicated connection,,,[计] 专用连接,,,,,,,,,,,,
dedicated control,,,[计] 专用控制,,,,,,,,,,,,
dedicated data,,,[计] 专用数据,,,,,,,,,,,,
dedicated data set,,,[计] 专用数据集,,,,,,,,,,,,
dedicated device,,,[计] 专用设备,,,,,,,,,,,,
dedicated executive,,,[计] 专用执行程序,,,,,,,,,,,,
dedicated function,,,[计] 专用功能,,,,,,,,,,,,
Dedicated IPX driver,,,[计] 专用IPX驱动程序,,,,,,,,,,,,
dedicated line,,,[计] 专线,,,,,,,,,,,,
dedicated link,,,[计] 专用链路,,,,,,,,,,,,
dedicated machine,,,[计] 专用计算机,,,,,,,,,,,,
dedicated memory,,,[计] 专用存储器,,,,,,,,,,,,
dedicated microprocessor,,,[计] 专用微处理机,,,,,,,,,,,,
dedicated microprocessor system,,,[计] 专用微处理机系统,,,,,,,,,,,,
dedicated network,,,[计] 专用网络,,,,,,,,,,,,
dedicated outside plant,,,[计] 专用外部装置,,,,,,,,,,,,
dedicated printer,,,[计] 专用打印机,,,,,,,,,,,,
dedicated program,,,[计] 专用程序,,,,,,,,,,,,
dedicated program segment,,,[计] 专用程序段,,,,,,,,,,,,
dedicated server,,,[计] 专用服务器,,,,,,,,,,,,
dedicated service,,,[计] 专用服务,,,,,,,,,,,,
dedicated storage,,,[计] 专用存储区,,,,,,,,,,,,
dedicated supervisor call,,,[计] 专用的管理程序调用,,,,,,,,,,,,
dedicated system,,,[计] 专用系统,,,,,,,,,,,,
dedicated terminal,,,[电] 专用终端机,,,,,,,,,,,,
dedicated uniprogrammed operating system,,,[计] 专用单道程序的操作系统,,,,,,,,,,,,
dedicatee,.dedikә'ti:,,n. 受奉献者,,,,,46600,,,,,,,
dedication,.dedi'keiʃәn,n. complete and wholehearted fidelity\nn. a ceremony in which something (as a building) is dedicated to some goal or purpose\nn. a short message (as in a book or musical work or on a photograph) dedicating it to someone or something,"n. 奉献, 献身, 献辞\n[计] 专用",,,,ielts,6950,6120,,,,,,
dedicator,'dedikeitә,,"n. 奉献者, 捐赠者, 献呈者",,,,,,,,,,,,
dedicatory,'dedikәtәri,,"a. 奉献的, 献纳的, 献呈的",,,,,,32014,,,,,,
deduce,di'dju:s,v. reason by deduction; establish by deduction\nv. conclude by reasoning; in logic,"vt. 推论, 演绎出\n[法] 推断, 推出, 演绎",,1,,cet4 cet6 ky ielts,7732,11664,,,,,,
deduce from,,,推断\n[法] ...从...推断(推出)...,,,,,,,,,,,,
deducible,di'dju:sәbl,s. capable of being deduced,a. 可推论的,,,,,44660,,,,,,,
deduct,di'dʌkt,,"vt. 扣除, 减去\n[经] 扣除, 减去, 折扣",,2,,cet6 ky ielts,7940,9903,,,,,,
deduct from,,,"扣除\n[经] 还钱, 偿还, 扣还",,,,,,,,,,,,
deductibility,"di,dʌkti'biliti",,可推断性,,,,,,28862,,,,,,
deductible,di'dʌktәbl,n. (taxes) an amount that can be deducted (especially for the purposes of calculating income tax)\nn. a clause in an insurance policy that relieves the insurer of responsibility to pay the initial loss up to a stated amount\na. acceptable as a deduction (especially as a tax deduction),a. 可扣除的\n[经] 可减的,,,,,26082,12198,,,,,,
deduction,di'dʌkʃәn,n. an amount or percentage deducted\nn. something that is inferred (deduced or entailed or implied)\nn. reasoning from the general to the particular (or from cause to effect),"n. 减除, 扣除, 减除额, 推论\n[医] 演绎, 推论",,2,,,7700,6147,,,,,,
deduction system,,,[计] 演绎系统,,,,,,,,,,,,
deduction theorem,,,[计] 演绎定理,,,,,,,,,,,,
deduction tree,,,[计] 演绛树,,,,,,,,,,,,
deductive,di'dʌktiv,a. relating to logical deduction\na. involving inferences from general principles,"a. 推论的, 演绎的\n[法] 推定的, 推断的, 演绎的",,,,,24534,20877,,,,,,
deductive algorithm,,,[计] 演绎算法,,,,,,,,,,,,
deductive data base,,,[计] 演绎数据库,,,,,,,,,,,,
deductive diagnosis strategy,,,[计] 演绎诊断策略,,,,,,,,,,,,
deductive inference,,,[计] 演绎推理,,,,,,,,,,,,
deductive method,,,[计] 演绎法\n[经] 推论方法,,,,,,,,,,,,
deductive simulation,,,[计] 演绛模拟,,,,,,,,,,,,
deductive system,,,[计] 演绎系统,,,,,,,,,,,,
deductive tree,,,[计] 演绎树,,,,,,,,,,,,
dee,di:,,n. D字形马具\n[医] D形电极(回旋加速器内),,,,,9191,,,,,,,
dee line,,,[电] D线,,,,,,,,,,,,
deed,di:d,n. a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it,"n. 行为, 实行, 契约\nvt. 立契转让",,1,,gk cet4 cet6 ky,4741,5049,,,,,,
deed-poll,,,n. 单务契约,,,,,,,,,,,,
deedback repression,,,[机] 回馈抑制,,,,,,,,,,,,
