Let's try something.	我們試試看！
I'm running out of ideas.	我没主意了。
Check that your username and password are written correctly.	檢查一下用戶名和密碼有沒有填錯。
Goodbyes are always sad.	离别总是让人悲伤。
Don't forget about us!	别忘了我们!
Open the cupboard to the left, the bottles are in there.	打开左边的橱，瓶子在那儿。
I suggest that we go out on Friday.	我建议我们星期五出去玩。
That way I kill two birds with one stone.	这样子我一箭双雕。
The tap is running.	水龙头在滴水。
Please tell us where there is a spice shop.	请告诉我们哪儿有食品杂货店。
I am four months pregnant.	我怀孕四个月了。
I've got a pacemaker.	我裝了個心臟起搏器。
Can I pay by credit card?	我可以用信用卡付帳嗎?
I feed my cat every morning and every evening.	每天早晚，我给我的猫喂食。
Could you please repeat that?	你能重复一遍吗？
I need your advice.	我需要你的意见。
Why did you wake me up to tell me something that big? Now, I'll never be able to concentrate on my work!	你为什么要唤我起来，告诉我如此晴天霹雳的消息? 现在你教我如何认真工作?
Where is your twenty? I'll give you five bucks for it.	你的二十塊在哪裡? 我給你五塊錢找到它。
There are things in this world which simply cannot be expressed in the form of words.	這個世界上有些事物根本不能用言語形容。
Take good care of yourself.	照顾好你自己。
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.	人的后半生就是由他前半生养成的习惯所构成的，其他什么都没有。
On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.	一對年輕日本夫婦，把一歲大的親生嬰兒放進膠袋，棄置於排水溝中，於五月十八日被捕。
The real problem is not whether machines think but whether men do.	真正的問題不是機器有沒有思想，而是人類有沒有思想。
If we knew what we were doing, it wouldn't be called research, would it?	如果我们知道我们在做什么，那么这不能称之为研究，是吗？
To the man who only has a hammer in the toolkit, every problem looks like a nail.	对工具箱里只有一把榔头的人来说，所有的问题都像钉子。
That's the thing about people who think they hate computers. What they really hate is lousy programmers.	那些自认为讨厌电脑的人就是这么回事。他们真正讨厌的是差劲的程序员。
Hope is not a strategy.	希望不是一种策略。
Do you have a pen on you?	你身上有铅笔吗？
Whose is this?	这是谁的？
Since Mario lied to me, I don't speak to him anymore.	自从马里奥对我撒了谎，我就再也不跟他说话了。
It's a good deal.	这是一笔不错的交易。
Pick up your things and go away.	收好你的东西，滚出去。
Put your hands down!	放下你的手！
He laughs best who laughs last.	最後笑的人，才是笑得最得意的人。
The sooner, the better.	越快越好。
He doesn't look his age.	他的长相与年龄不符。
Do you like rap?	你喜欢说唱音乐吗？
I love trips.	我喜欢旅行。
It's not important.	這個不重要。	这不重要。
I don't care.	我无所谓。	不关我的事。
I was about to go out when the phone rang.	我正要出門的時候，電話就響起了。
People should understand that the world is changing.	人应该明白世界在变。
Speech is silver, but silence is golden.	雄辯如銀，沉默如金。
Fifty-two per cent of British women prefer chocolate to sex.	有百分之五十二的英國女性喜歡巧克力勝於性。
I don't like these remarks.	我不喜歡這番話。
Why do you want to leave today?	你们为什么想今天走？
I'm going to take my car.	我将去取我的车。
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.	如果你告訴他們富蘭克林是第一個這麼說的, 人們會更樂意接受你的想法。
Better late than never.	迟做总比不做好。	亡羊补牢。	迟到总比不到好。
Like father, like son.	有其父必有其子。
The early bird catches the worm.	早起的鸟儿有虫吃。
In life there are ups and downs.	生活中有高低起伏。
All cats are grey in the dark.	猫在黑暗中都是灰色的。
No news is good news.	没消息就是好消息。
If you think education is expensive, wait till you see what ignorance costs you.	如果你認為教育是昂貴的, 那麼你等著看無知讓你付出的代價。
I was expecting it!	我一直在期待着！
I don't expect anything from you.	我不指望从你身上得到什么。
People who will lie for you, will lie to you.	会为你说谎的人，就会对你说谎。
There's no doubt.	毫无疑问。
There isn't any solution.	无解。
I didn't know he drank so much.	我不知道他喝那么多酒。
It's well done.	做得很好。
Do you want fruit juice?	您想要果汁嗎？
He's a good person.	他是个好人。	他是個好人。
Do as you want.	你想怎么做就怎么做。
Enjoy your meal!	祝你胃口好！
There's no love without jealousy.	爱都是嫉妒的。	没有妒忌就没有爱情。
No love is foul nor prison fair.	沒有骯髒的愛情, 也沒有美麗的監獄。
We are cut from the same cloth.	我們很相似。
The walls have ears.	牆上有耳。	隔牆有耳。
I've got a frog in my throat.	我緊張得說不出話來了。
Make yourself at home.	就当在家一样。
Why aren't you coming with us?	你为什么不和我们一起来？
Don't listen to him, he's talking nonsense.	別聽他的, 他在說廢話。
We are sorry, the person you are trying to contact is not available.	對不起, 你要聯絡的人沒空。
I don't want it anymore.	我再也不想要了。
He came several times.	他来了很多次了。
I'm going to take a bath.	我打算洗个澡。
It was raining when we left, but by the time we arrived, it was sunny.	我们走的时候下着雨，到的时候有太阳。
I don't know if he would have done it for me.	我不知道他是否已经为我做好了。
Would you like to come?	你愿意来吗？
I knew he would accept.	我知道他会接受的。
She would willingly come but she was on vacation.	她很樂意前來，但是她在休假。
I thought it was true.	我以为这是真的。
This is the town I told you about.	这就是我跟你说的那个镇。
I have to give back the book before Saturday.	我必须在礼拜六之前把书还回去。
They quarreled.	他们吵架了。
I ate caviar.	我吃了魚子醬。
You took the wrong key.	你拿错钥匙了。
How much is it?	这个多少？	它多貴?	多少錢?
Here is your change.	這是你零錢。
Did you leave a tip?	你们给了小费吗？
Don't forget the ticket.	不要忘了票。
I'm sorry, I don't have change.	對不起, 我沒有零錢。	不好意思，我没零钱。
The situation is worse than we believed.	情況比我們想像的要糟。
They don't even know why.	他們甚至不知道為什麼。
I want you to tell me the truth.	我想你把真相告诉我。	我想要你把真相告诉我。
You arrived at the moment I left.	我出门的时候，你来了。
Florence is the most beautiful city in Italy.	佛罗伦萨是意大利最美丽的城市。
I talked to friends.	我和朋友们交谈。
The film lasted 2 hours.	电影持续了2个小时。
I'm glad to see you back.	很高兴再见到您。	很高兴再见到你。
Tell me what happened.	告訴我發生了什麼事。	告诉我，发生什么了？
How beautiful you are!	你真漂亮！
It's more difficult than you think.	它比你想像的要难。
He told me he would go to Venice.	他告诉过我他会去威尼斯。
Who are those guys?	那些家伙是谁？
I don't agree with him.	我不同意他。
The spirit is willing, but the flesh is weak.	心有餘而力不足。
There's quite a lot of things to do; do you want some help?	有很多事情要做。你需要我帮忙吗？
It seems to me that the train is late.	好象火车晚点了。
I don't know if I'll have time to do it.	我不知道我是否有时间做。
Wolves won't usually attack people.	一般來說，狼不會攻擊人。
"Can somebody help me?" "I will."	"誰可以來幫我一下?" "我幫你。"
I hope he'll be able to come! I'd like to see him.	我希望他能來！我想見他。
Her garden is a work of art.	她的花园是一件艺术作品。
I'd rather be a bird than a fish.	我寧願是一隻鳥勝過一條魚。
We're going to eat a lot tonight so I hope you're not on a diet.	我们今晚会吃很多，所以我希望你没有在节食。
For once in my life I'm doing a good deed... And it is useless.	我生平难得做了一件好事...却是没用的。
You ask me to do the impossible.	你让我做不可能做到的事情。
I brought you a little something.	我给你带了点东西。
You are no better at remembering things than I am.	你记事情的能力并不比我好多少。
You are as tall as I am.	你和我一样高。
You have the same racket as I have.	你的球拍跟我的一樣。
Tell me about it!	跟我讲讲那件事。
Maria has long hair.	瑪麗亞有一頭長髮。
I have to take medicine.	我必须吃药。
I work even on Sunday.	我甚至在週日工作。
It happened a long time ago.	这事发生在很多年以前。
Where have you been?	你一直在哪里？
Here comes the bride!	新娘来了！
It's been snowing all night.	雪下了一整夜。
It's been ten years since we last met.	我們離上次見面有十年了。
If you don't want to stay alone, I can keep you company.	如果你不想一个人呆着，我可以陪着你。
How come you know so much about Japanese history?	你為什麼知道這麼多的日本歷史?
She's selling drugs at concerts.	她在演唱会的场地贩卖毒品。
Turn right at the crossroad.	在十字路口右转。
They forgot to lock the door.	他们忘了锁门。
He was born on July 28th, 1888.	他出生於1888年7月28日。
Will you listen to me for a few minutes?	您愿意听我说几分钟话吗？
How did your interview go?	你的面试怎么样？
I'm going to sit on the bench over there next to the street lamp.	我會在那盞街燈旁邊的長凳上坐下來。
I have to write a letter. Do you have some paper?	我需要写一封信。你有纸吗？	我要写一封信。你有纸吗？
Could you do me a favour please?	請你幫我個忙好嗎?
She is mad at me.	她跟我生气了。
I can't believe my eyes.	我无法相信自己的眼睛。
An eye for an eye, a tooth for a tooth.	以眼還眼，以牙還牙。	以眼还眼以牙还牙
You are to come with me.	你将伴我同行。
You have to come with me.	你必須跟我來。
Can you do bookkeeping?	你會記帳嗎?
You have no sense of direction.	你一点方向感都没有。
You had better go to the infirmary.	你最好去一下医务室。
You should know better than to ask a lady her age.	你應該知道不要問小姐的年齡。
You shouldn't do things by halves.	你做事不能半途而废。
You should pay your rent in advance.	你应该提前付租金。
You should take care of your sick mother.	你應該照顧你生病的母親。
You have to learn standard English.	你必须得学标准英语。
You are not at all wrong.	你并不完全错误。
I have a feeling you'll be a very good lawyer.	我感覺你將來會成為一名優秀的律師。
You are tired, aren't you?	你累了，不是吗？
Are you not tired?	你不累嗎？	你们不累吗？
You look tired. You ought to rest for an hour or two.	你看起來很累。你應該休息一兩個小時。
You are too sensitive to criticism.	你對批評太敏感了。
You can rely on him.	你可以依靠他。
I think that you ought to apologize to her.	我認為你應該跟她道歉。
Did you meet her?	你碰见过她了吗？
Did you fall in love with her at first sight?	你对她是不是一见钟情？
You told her that you had finished the work three days before.	你告訴她你已經在三天前完成這個工作了。
Are you aware of how much she loves you?	你知道她有多麼愛你嗎?
I think you had better call on him.	我認為你最好去拜訪他。
You must be careful not to make him angry.	你要小心別惹他生氣。
You are selling him short.	你別小看了他。
Are you younger than him?	你比他年輕嗎？
You must take his age into account.	你该考虑他的年纪。
Are you for or against his idea?	您赞成还是反对他的想法？
You must pay attention to his advice.	你一定要注意他的建议。
You should have accepted his advice.	你本应该接受他的建议。
You may make use of his library.	你可以利用他的图书馆。
All you have to do is follow his advice.	你跟隨他的指示做就行了。
You should have helped him with his work.	你應該幫他工作的。
You should pay more attention to what he says.	你應該多注意他說的話。
You must pay attention to him.	你必须注意他。
You should pay more attention to his warnings.	你應該多注意他的警告。
You should tell him the truth.	您该告诉他真相。	你该告诉他真相。
You ought to ask him for advice.	你应该向他征求意见。
Didn't you write a letter to him?	你沒寫信給他嗎？
You ought to thank him.	你应该感谢他。
You can trust him to keep his word.	你可以相信他会信守诺言。
Do you know who he is?	你知道他是誰嗎？
You work as hard as he did at your age.	你跟他在你這個年紀時一樣努力工作。
Have you ever seen him swimming?	你曾看過他游泳嗎？
What subject do you think he is interested in?	你觉得他会对什么主题感兴趣？
Didn't you know that he passed away two years ago?	你不知道他兩年前死了嗎？
You should get your hair cut.	你该剪头发了。	你该理发了。
Can you ride a horse?	您会骑马吗？	你会骑马吗？
You should work hard.	你应该努力工作。
You must study hard.	你必須認真學習。
You don't have to go to school on Sunday.	你没必要周日去上学。
What do you usually do on Sundays?	你週日通常做什麼?
Are you a Japanese student?	你是日本学生吗？	你是日语学生吗？
Do you keep a diary?	你记日记吗？
Do you know how to cook meat?	你知道怎麼煮肉嗎?
You could count to ten when you were two.	在你兩歲時, 你可以數到十。
You work too hard.	你工作太努力了。
You are working too hard. Take it easy for a while.	你工作得太辛苦了。放輕鬆一下。
You know the answer?	你知道答案嗎?
Do you live here?	你住這裡嗎?
I took it for granted that you were on my side.	我理所當然認為你會站在我這邊。
You don't go to school on Sunday, do you?	你週日不上學, 對嗎?
You may as well withdraw from the club right away.	你還不如立刻退出這個俱樂部。
What do you have for breakfast?	你早餐吃什么？
How do you account for your being late?	你怎么解释你的迟到？
You won't be late, will you?	你不會遲到，是嗎？
You must have stayed up late.	你应该是去睡得很晚。
You'll learn how to do it sooner or later.	你遲早會學會怎麼做。
You should have refused his request flatly.	你应该直接拒绝他的要求。
Who are you waiting for?	你在等誰?
You must build up your courage.	你一定要鼓起勇气。
Are you meeting someone here?	你在这里是要见谁吧？
Can you tell wheat from barley?	你能辨别小麦和大麦吗？
You look very pale.	你看上去很苍白。
I'm proud of you.	我以你為榮。
What do you want to be when you grow up?	你长大后想成为什么？
You may take either the big box or the small one.	你可以拿大的盒子或是小的盒子。
You look bored.	你看起來很無聊。
All you have to do is to take care of yourself.	你要做的只是照顾好你自己。
You may have read this book already.	你可能已經看過這本書。
You depend too much on others.	你太依賴別人了。
You have foul breath.	你有口臭。
You know quite a lot about Sumo.	你對相撲知道得很多。
You look as healthy as ever.	你看起來健康如昔。	你看起来和以前一样健康。
You should distinguish between right and wrong.	你需要区分善与恶。
You will have heard this story before.	您以前应该听过这个故事。	你以前应该听过这个故事。
You made the same mistake as last time.	你犯了跟上次相同的錯誤。
Are you for the war or against it?	你支持还是反对战争?
You should follow your teacher's advice.	您應遵循你老師的建議。
You ought to ask for your teacher's permission.	你應該請求你的老師允許。
Can you eat raw oysters?	你能生吃牡蠣嗎？
You seem to be an honest man.	你看起来像个老实人。	您看起来像个老实人。
You have to get this work finished by noon.	你必須在中午以前完成這個工作。
You may be right, but I am against your opinion.	你可能是对的，但我和你意见相反。
Are you concerned with politics?	你關心政治嗎？
You will find it stated a few pages further on.	你会发现它用几页纸进一步作了说明。
You will soon get used to speaking in public.	你很快就會習慣在公開場合講話了。
Do you believe in God?	你相信上帝吗？	你信仰上帝么？
If you study earnestly, you can expect to pass the exam.	如果你认真学习，就有希望通过考试。
It's time for you to buy a new car.	你該買一輛新車了。
You must clear the table.	你必须把桌子清理干净。
I think you'd better go on a diet.	我想你應該節食了。
You had better be careful not to overeat.	你最好小心不要吃過量。
You're going too far.	你太过分了。
You work hard.	你工作努力。
You have a way with women.	你对女人有一套。
You are welcome to do anything you like.	您可以做任何您想做的事。
You should have known better than to take an examination without preparing for it.	你應該知道要為考試作準備。
Did you do your homework by yourself?	你自己做回家作業的嗎?
Are you writing a letter?	你在写信吗？	你在寫信嗎?
You should get your car fixed.	你應該把你的車修好。
Can you drive a car?	你會駕車嗎？	您会开车吗？
You can drive a car, can't you?	你會開車，不是嗎?
You should apologize.	你應該道歉。
Did you actually see the accident?	你真的看到了這起事故嗎？
You should acknowledge your failure.	你应该承认自己的失败。
You should try to form the habit of using your dictionaries.	你们该养成使用字典的习惯。
You are free to go home.	你隨時可以回家。
You should learn to restrain yourself.	你應該學習控制自己的情緒。
You should be ashamed of your ignorance.	你應該為你的無知感到羞恥。
You must share your jobs with others.	你必須分些零工給其他人做。
You must account for your conduct.	你必须为自己的行为负责。
You should be responsible for your actions.	你要為自己做過的事情負責。
You must do it yourself.	你应该自己做。
Are you sure of your facts?	你確定你的資料屬實嗎？
You should have introduced yourself.	你本來應該介紹自己的。
You must control yourself.	你必須控制自己。
You ought to get to work on time.	你應該準時上班。
You should look after the children from time to time.	你應該偶爾照顧孩子。
You ought to see a dentist.	你應該去看牙醫。
You do me wrong.	你对不起我。
You may use my new car.	你可以使用我的新車。
I wish you had told me the truth.	我希望你告訴我真相了。
You lied to me, didn't you?	你對我說了謊, 沒有嗎?
You ought to have come to our party.	你應該到我們的派對的。
You don't know how worried I am.	你不知道我有多担心啊。
You finally succeeded in getting a job.	你終於成功找到工作了。
You were late for work.	你上班迟到了。
Your hair wants cutting.	你该去理发店了。
You had better take an umbrella with you.	你最好隨身帶把傘。
You ought to have come to see me yesterday.	你昨天應該來看我的。
Did you go out last night?	你昨天晚上出去了嗎？
You didn't come to school yesterday, did you?	你昨天沒來學校, 是嗎?
You did not come to school yesterday.	你昨天没来学校。
Did you hear about the fire yesterday?	你聽說了昨天的火災嗎?
Why were you absent yesterday?	你昨天為甚麼缺席？
You must do your best.	你必须做到最好。
You can get in touch with him at his home tonight.	今晚你可以在他家联络到他。
You look happy today.	你今天看起來很高興。	你今天看上去很开心。
You have a little fever today, don't you?	你今天是不是有点发烧？	你今天有点发烧，是吧？
It would be better for you to stay in bed today.	你最好今天待在家休息。
You look pale today.	你今天看上去很苍白。
You'd better not go out today.	你今天最好不要出門。
You look very charming today.	今天你看起来很迷人啊。
You'd better start now.	你最好現在就開始。
Are you a senior high school student?	你是個高中生嗎?
You don't have to go to the party unless you want to.	除非你想去, 否則你不必去這個派對。
You have to go.	你們得走了。
You'd better not go.	你最好不要去。
Are you happy?	你快樂嗎？	你幸福吗？
You are free to do as you please with your money.	你可以隨你高興的用你的錢。	你自己的钱，想怎么用就怎么用。
You've got to learn to hold your tongue.	你應該學著閉上你的嘴。
You made a wise choice.	你做了一個明智的選擇。
You have to turn in the reports on Monday.	星期一你必須繳交報告。
You should do the honorable thing and resign.	你應該光榮地辭職。
How do you account for your absence?	你怎麼解釋你缺席的原因？
You must go through with your plan.	你必须按照你的计划行事。
You are the master of your own destiny.	你才是自己命运的主人。
You need to have friends who can help you out.	你需要可以幫助你的朋友。
What do you base your theory on?	你的理論是以什麼為基礎?
You do your part and I'll do the rest.	你做你的部份, 其他的我來做。
I suppose you're hungry.	我猜想您饿了。	我猜想你饿了。
Do you ever dream about flying through the sky?	你曾經夢想在天空飛翔嗎？
Have you ever been to Kyushu?	你去过九州吗？
You must come back before nine o'clock.	你必须在九点之前回来。
You can get a loan from a bank.	你可以从银行贷款。
You should make an effort to stop smoking.	你應該努力去戒煙。
You had better not smoke while on duty.	當你值勤時最好不要抽煙。
Do you know who Rie Miyazawa is?	你知道Rie Miyazawa是誰嗎?
You broke the rule.	你坏了规矩。
You're stepping into dangerous territory.	你進入了危險區。
You look pale.	你看起來很蒼白。
You look pale. You had better lie down in bed at once.	你的臉色這麼差，還是趕快去睡覺吧。	你看上去很苍白。你最好立刻去床上躺会儿。
You are as white as a sheet.	你象纸一样白.
I think that you're wrong.	我认为你错了。
Have you ever read any Chinese poems?	你讀過任何一首中國詩詞嗎?
You've done a perfect job.	你做了一项完美的工作。
You are nothing but a student.	你只不過是一個學生。
You may be late for school.	您上學可能會遲到。
What subjects are you taking at school?	你在學校裡讀哪些科目?
You seem to be prejudiced against ideas that come from foreign countries.	你似乎對來自國外的想法有偏見。
Would you like to go abroad?	你想出國嗎?
Do you plan to go abroad?	你打算出国吗？
You should have attended the meeting.	你應該參加這個會議的。
Will you stay at home?	你会待在家吗？
What grade are you in?	你幾年級？
You continue making the same mistakes time after time.	你每次都继续犯同样的错误。
You may go anywhere.	您可以随便去哪儿。	你可以随便去哪儿。
What time are you going on duty?	你幾點值班?
What time will you get to the station?	你几点会到车站？
You're too suspicious about everything.	你对什么都太怀疑了。
How many books do you have?	你有几本书?	你有多少本書？
What are you looking for?	你们在找什么？
What are you looking at?	你在看什麼？	你在看什麼啊？	你在看什么？
What do you intend to do?	你想做什麼?
What do you want to be?	您想成为什么？	你想成为什么？
What will you have?	你将拥有什么？
What woke you up?	什麼吵醒你了?
What did you come here so early for?	你這麼早來到幹甚麼？
You've worked hard for months and have certainly earned a holiday.	你已經辛苦地工作好幾個月了, 當然可以休假。
Please let me know what you want.	請讓我知道你要什麼。
I wonder if you have something to write with.	我懷疑你是否有東西可寫。
What do you like?	你喜欢什么？
What do you want now?	您现在想要什么？	你现在想要什么？
Do you belong to any clubs?	您隶属哪家俱乐部吗？
Do you love music?	你爱音乐吗？
You are not a coward.	您不是个懦夫。	你不是个懦夫。
You dropped your pencil.	你把你的铅笔弄掉了。
Do you have any pencils?	你有铅笔吗？
Do you study English?	您学英语吗？	你学英语吗？
All you have to do is try hard to master English.	所有您必須要做的事就是努力地學好英語。
Can you make yourself understood in English?	你说英语别人能懂吗？	別人聽得懂你說的英語嗎?
You can't speak English, can you?	你不会说英语，是吗？
You can swim, can't you?	你會游泳, 不是嗎？
Can you swim?	你會游泳嗎?
I think you'll have very little difficulty in getting a driver's license.	我想你要拿到驾照根本不难。
You're still too young to get a driver's license.	你還太年輕無法取得駕駛執照。
What are you driving at?	你在暗示什么？	您在暗示什么？	你们在暗示什么？
Did you read it at all?	你其實有沒有看過？
You'll never be alone.	你们永远不会一个人的。	你永远不会一个人的。
You should follow the doctor's advice.	你應該遵照醫生的忠告。
You'd better consult the doctor.	您最好请教一下医生。	你最好请教一下医生。
I'm surprised that you're so naïve.	我很惊讶你们竟然那么天真。	我很惊讶你竟然那么天真。	我很惊讶您竟然那么天真。
You should return home before it gets dark.	你應該在天黑之前回家。
You are in a safe place.	您在一个安全的地方。
You must rid yourself of bad habits.	你该摆脱你的坏习惯。
You've set a bad example.	你做了个坏榜样。
How many days will you remain in London?	你要在倫敦待幾天？
You must make up for the loss.	您必须弥补损失。
You had better put on a raincoat.	您最好穿一件雨衣。
You don't like love stories.	你不喜欢爱情故事。
You are too ready to speak ill of others.	你太喜欢说他人坏话了。
How dare you speak like that?	您怎么敢这样说话？
You're really a hard worker.	你真是个努力的工人。
You have a good sense of humor.	你很有幽默感。
Have you ever seen a UFO?	你看過飛碟嗎？
You are no longer a mere child.	你不再只是一个孩子了。
You should have known better.	你本應該更明白的。
You should study harder.	你應該更努力學習。
You should be more careful.	你應該要更小心。
You should have completed it long ago.	你们很久前就应该完成了。
You should have worked harder.	你應該要更努力的。
I think it necessary for you to study harder.	我认为你需要更努力学习。
You should have been more careful.	你應該要更小心的。
You should have come earlier.	你本应该来得更早的。
Do you like Mozart's music?	你喜歡莫扎特的音樂嗎？
Have you taken your medicine yet?	您已经吃过药了吗？
You are now an adult.	你现在是大人了。
You must go to bed now.	你現在必須上床睡覺。
You had better go to bed now.	你最好現在去睡覺。
You must get up a little earlier.	你该早一点起床。
You nearly poked me in the eye with your pencil.	你的鉛筆差點戳到我的眼睛了。
You had better stay here a little longer.	你最好在這裡待久一點。
Have you finished doing your homework yet?	你做完回家作業了嗎?
Have you done all your homework?	你做了所有的功課嗎？
You may go home now.	你現在可以回家了。
Have you turned in your report?	你交報告了嗎？
Have you finished reading that book yet?	你讀完那本書了嗎?
Have you finished the work yet?	你们已经把工作结束了吗？
You are now old enough to support yourself.	你已經到了可以自給自足的年紀了。
You haven't changed at all.	你一点都没变。	你真的一点没变。
You have made the very same mistake again.	你又犯了相同的錯誤。
You haven't washed your hands yet, have you?	你还没洗手，不是吗？
You're not old enough to get a driver's license.	你还没到可以拿驾驶执照的年龄。
Can you speak French?	你会说法语吗？	你會講法語嗎？
You can't speak French, can you?	您不会说法语，是吗？
You'd better go by bus.	你最好坐公共汽車去。
You should practice playing the violin every day.	你應該每天練習拉小提琴。
You say Nessie is an imaginary being, but I think she exists.	你说尼斯湖水怪是虚构的，但我觉得它真实存在。
You'll have to manufacture some kind of excuse.	你不得不制造一些借口。
I tried to reach you on the phone, but I was unable to get through.	我打了電話給你，但卻接不通。
How tall you are!	你真高啊！
How rude of you!	你真粗魯！
Do you want anything?	你想要什麼嗎？
Why can't you come?	你為什麼不能來?
Why did you try to run away?	为什么你企图逃走？
Why did you not go to the office?	您为什么没去办公室？
Why do you accuse my son?	你为什么指责我儿子？
What prevented you from coming earlier?	什麼阻止你早點來了?	為什麼你不能早點來?
Why do you want to study abroad?	为什么你想到外国读书？	为什么您想到外国读书？
What do you need the money for?	你要这钱干嘛？
Why did you use up all the money?	为什么你花了所有钱？
You must consider what kind of work you want to do.	你一定要考慮清楚你想做怎麼樣的工作。
How long have you been in Japan?	你去了日本多久?	您在日本待多久了呢？
How long will you stay here?	你會在這裏逗留多久？	你会在这儿待多久？
You can always count on Tom.	你可以永遠信賴湯姆。
Which club do you belong to?	你屬於哪個社團?
How high can you jump?	您能跳多高？	你能跳多高？
How tall are you?	你多高？	你有多高？	你多高?
You are very brave.	您非常勇敢。	你非常勇敢。
You look very tired.	你看上去非常累。
That's very sweet of you.	您真是太好了。
Which bed do you want to use?	你想睡哪張床?
You may go anywhere you like.	你喜欢去哪儿就可以去哪儿。
Where do you attend high school?	你在哪裡唸高中?
Where were you?	之前你在哪里？
How about you?	你呢？	你怎麼樣？	那你呢?	你們呢？	您呢？
What are you doing?	你在干什麼啊？	你现在在做什么？	你在干什么？	你做什麼？	你在幹什麼？	你在做什么？	你在干嘛？	在做什么？	在干什么？	你在做什麼？	搞什么啊？
How did you come to know her?	你是怎麼認識她的？
Why did you say such a thing?	你為什麼說了這樣的事?
What have you come here for?	你为什么来这儿？	你们来这儿干嘛？	您来这儿干嘛？
What has brought you here?	是什么风把你吹来了啊？
You'd better go home as soon as possible.	你最好盡快回家。
You don't like chocolate, do you?	你不喜歡巧克力對吧？
You have just done your homework.	你只是做了你的功课。
You smoke far too much. You should cut back.	你吸太多煙了。你應該少抽一點。
You've been had.	你受骗了。	你们被骗了。	您被骗了。
You should give up smoking.	你應該戒菸。
You should give up smoking and drinking.	你该戒烟戒酒了。
All you have to do is to wait.	所有您要做的，就是等待。
You have many books.	您有很多书。	你有许多书。	你们有很多书。
You are very fortunate that you have such friends.	你们很幸运有这样的朋友们。
You may think those shoes are in fashion, but they aren't.	你可能認為那些鞋子很時髦, 但是他們不是。
You don't need to worry about such a thing.	你不必擔心這樣的事情。
You are old enough to know better than to act like that.	你夠大了知道不要那樣做。
You can bank on that.	你可以相信那個。	你可以寄希望于此。
Who did you give it to?	你把它給誰了?
You could have done it.	你本來可以做的。
Have you finished it?	你做完了嗎?
Do you have one?	你有嗎？
You will wish you had never seen it.	你會希望你從來沒有看過它。
Did you buy it on the black market?	你在黑市买它了吗？
You should have done it earlier. It cannot be helped now.	你應該早點做的。現在沒人可以幫你。	你本应该早点做的。现在已经没有任何办法了。
What did you open it with?	你用什么打开的？
You shouldn't have done it.	你不應該做的。
You will not be able to catch the train.	你將無法趕上火車。
Do you know the reason?	你知道是什麼原因嗎？
Could you solve the problem?	你能解決這個問題嗎？
You should have introduced yourself to the girl.	你應該向那個女孩自我介紹的。
You must return the book to him.	这本书你该还给他。
You ought to know better at your age.	在你這個年紀你應該要更懂事。
You should emphasize that fact.	你應該重視那個事實。
Did you watch the game?	你看了比賽嗎？
Did you cut the paper?	你裁切紙張了嗎？
You have to overcome the difficulties.	你必须克服困难。	你们要排除万难。
You owe me an apology for that.	关于那件事你欠我一个道歉。
You are responsible for the result.	你要对结果负责。
Are you for or against the plan?	你赞成还是反对这个计划？
Are you planning to take part in the meeting?	你们准备参加会议吗？
Do you deny that you went there?	你否認你去了那裡嗎?
You should have done so.	你本應該這樣做的。
You're wet through.	你浸湿了。
You should have told me a long time ago.	很久以前你就應該告訴我的。
You've got a lot of guts.	你膽子很大。
You'd better have your hair cut at once.	你最好立刻剪頭髮。
You will soon get accustomed to living here.	你很快就會習慣住在這裡。
You will soon be convinced I am right.	你很快就會相信我是對的了。
You will soon get accustomed to your new school.	你很快就会适应你的新学校。
You'd better go to see your family doctor at once.	你最好立刻去看你的家庭醫生。
What are you staring at?	你在看什麼？
You may have mistaken Jane for his sister.	你可能誤認珍為他的妹妹。
You must put an end to this foolish behavior.	你该结束这种愚蠢的行为了。
Did you do this on your own?	這是你自己做的嗎?
You have to put up with all these noises.	你必须把无视这些声音。
Have you read this book already?	你讀過這本書了嗎？
Have you read this book yet?	你讀過這本書嗎？
You are not to leave this room.	你不應該離開這個房間。	你不可以離開這個房間。
You have to put up with all this noise.	你必须忍受这一切的噪音了。
Where did you go last Sunday?	上周日你去哪儿了？
You must get this homework finished by the day after tomorrow.	你必須在後天以前完成回家作業。
You can use this car.	你可以使用這輛車。
You are suitable for the job.	你很適合這份工作。
Can you read this kanji?	你會讀這個漢字嗎？
You'll soon get accustomed to this cold weather.	你很快就會習慣這種冷天氣。
How did you come by this money?	用這些錢你怎麼來的?
All you have to do is sign your name here.	你在這裏簽個名就行了。
You'd better not wait here.	你最好不要在這裡等。
Are you going to sing here?	你们要在这里唱歌吗？
You had better get away from here at once.	你最好立刻離開這裡。
You have to study hard to catch up with your class.	你必須用功讀書趕上同學。
You must be mentally exhausted.	你肯定脑子糊掉了。
Not only you but also I was involved.	不止你， 连我也被牵连了。
Where are you from in Canada?	你來自加拿大的哪裡?
You should ask your father for his advice and follow it.	你應該問你父親的忠告並遵守它。
You should apologize to Dad for not coming home in time for supper.	你應該為你沒有及時回家吃晚餐向你父親道歉。
You don't get up as early as your sister.	你没有你姐姐起得那么早。
